ID,meaning,semantic tag,Etymon ID,Etymon,pS root,Part of Speech,language,script,transliteration,Sem normalization,IPA singular,gender,f markedness,pS pattern,Sem normalization pl,IPA plural,pS plural pattern,PS plural suffix,deptotic,"Tag (popularity) insert word. rate, archaic, wanderwort, borrowed. ambiguous. no derivation [for primary nouns] primary nouns [divide with commas], deptotic",Donor language (in cases of borrowing),Donor word (in the original language),data source,Notes
AV2,yesterday,TI_YD,ETYMON58,,,adverb,Syriac,ܐܬܡܠܝ,ʼtmly,etmāl,ʔetma:l,,,,,,,,,,,,,
AV3,yesterday,TI_YD,ETYMON58,,,adverb,Ethiopic,ትማልም,təmāləmə,təmāləm,tɨma:lɨm,,,,,,,,,,,,,
AV4,yesterday,TI_YD,ETYMON58,,,adverb,Hebrew,תמול,tmwl,təmôl,təmo:l,,,,,,,,,,,,,
AV5,yesterday,TI_YD,,,,adverb,Arabic,أمس,ʼms,ʼams,ʔams,,,,,,,,,,,,,
ETYMON58,,TI_YD,,tima:l-,,adverb,Proto-Semitic,,,,,,,,,,,,,,,,,
A16,black,SP_BK,ETYMON59,,,Adjective,Akkadian,,,ṣalmum,s'almum,,,qatl,,,,,,,,,,
A17,black,SP_BK,,,,Adjective,Syriac,ܐܘܟܡ,ʼwkm,ukkām,ukka:m,,,,,,,,,,,,,
A18,black,SP_BK,ETYMON59,,,Adjective,Ethiopic,ጸሊም,ṣalimə,ṣallim,s’allim,,,,,,,,,,,,,
A19,black,SP_BK,,,,Adjective,Hebrew,שחור,šḥwr,šāḥōr,ʃa:ħo:r,,,qatull,,,*qatul,,,,,,,
A20,black,SP_BK,,,,Adjective,Arabic,أسود,ʼswd,ʼaswad,ʔaswad,,,,,,,,,,,,,
ETYMON59,,SP_BK,,θ’alim-,,adjective,Proto-Semitic,,,,,,,,,,,,,,,,,
N148,navel,BP_NV,,,,noun,Akkadian,,,abunnatum,abunnatum,F,TRUE,qatull-at?,NA,NA,NA,NA,,,,,,
N149,navel,BP_NV,,,,noun,Syriac,ܟܢܘܫܪ,knwšr,knušer,knuʃer,M,FALSE,,,,,,,,,,,
N150,navel,BP_NV,ETYMON60,,,noun,Syriac,ܫܘܪ,šwr,šur,ʃur,M,FALSE,,,,,,,,,,,
N151,navel,BP_NV,,,,noun,Ethiopic,ሕንብርት,ḥənəbərətə,ḥənbərt,ħɨnbɨrt,,TRUE,,,,,,,,,,,
N152,navel,BP_NV,ETYMON60,,,noun,Hebrew,שר,šr,šōr,ʃo:r,M,FALSE,*qutl,NA,NA,NA,NA,,,,,,
N153,navel,BP_NV,ETYMON60,,,noun,Arabic,سرة,srh,surra,surra,F,TRUE,,"surrāt, surar","surra:t, surar",*qutal,*a:t,,,,,,
ETYMON60,,BP_NV,,surr,,noun,Proto-Semitic,,,,,,,,,,,,,,,,,
N154,back,BP_BA,ETYMON61,,,noun,Akkadian,,,ṣērum,s'e:rum,M,FALSE,"qil, qīl?","ṣērū, ṣērān","s'e:ru:, s'e:ra:n",same,"u:, a:n",,,,,,
